IGBP iq    i     j    rlong      rlat  iveg frac-c4
  3014    38    63     26.26    -17.39   9  0.75
  3015    39    63     28.11    -17.29   9  0.75
  3016    40    63     29.94    -17.20   9  0.75
  3017    41    63     31.75    -17.10   9  0.75
  3018    42    63     33.55    -17.02   9  0.75
  3019    43    63     35.34    -16.94   9  0.75
  3020    44    63     37.11    -16.88   9  0.75
  3021    45    63     38.88    -16.82   9  0.75
  3022    46    63     40.63    -16.78   0  0.00
  3023    47    63     42.38    -16.75   0  0.00
  3024    48    63     44.13    -16.74   0  0.00
  3025     1    64    315.88    -15.05   9  0.75
  3026     2    64    317.64    -15.07   9  0.75
  3027     3    64    319.40    -15.09   9  0.75
  3028     4    64    321.17    -15.13   0  0.00
  3029     5    64    322.95    -15.17   0  0.00
  3030     6    64    324.73    -15.23   0  0.00
  3031     7    64    326.52    -15.29   0  0.00
  3032     8    64    328.33    -15.37   0  0.00
  3033     9    64    330.15    -15.44   0  0.00
  3034    10    64    331.98    -15.53   0  0.00
  3035    11    64    333.83    -15.61   0  0.00
  3036    12    64    335.70    -15.70   0  0.00
  3037    13    64    337.57    -15.79   0  0.00
  3038    14    64    339.47    -15.88   0  0.00
  3039    15    64    341.37    -15.96   0  0.00
  3040    16    64    343.29    -16.04   0  0.00
  3041    17    64    345.23    -16.11   0  0.00
  3042    18    64    347.17    -16.18   0  0.00
  3043    19    64    349.13    -16.24   0  0.00
  3044    20    64    351.09    -16.29   0  0.00
  3045    21    64    353.06    -16.33   0  0.00
  3046    22    64    355.04    -16.36   0  0.00
  3047    23    64    357.02    -16.39   0  0.00
  3048    24    64    359.01    -16.40   0  0.00
  3049    25    64      0.99    -16.40   0  0.00
  3050    26    64      2.98    -16.39   0  0.00
  3051    27    64      4.96    -16.36   0  0.00
  3052    28    64      6.94    -16.33   0  0.00
  3053    29    64      8.91    -16.29   0  0.00
  3054    30    64     10.87    -16.24   0  0.00
  3055    31    64     12.83    -16.18   7  0.95
  3056    32    64     14.77    -16.11   9  0.75
  3057    33    64     16.71    -16.04   9  0.75
  3058    34    64     18.63    -15.96   9  0.75
  3059    35    64     20.53    -15.88   9  0.75
  3060    36    64     22.43    -15.79   9  0.75
  3061    37    64     24.30    -15.70   9  0.75
  3062    38    64     26.17    -15.61   9  0.75
  3063    39    64     28.01    -15.53   9  0.75
  3064    40    64     29.85    -15.44   9  0.75
  3065    41    64     31.67    -15.37   9  0.75
  3066    42    64     33.48    -15.29   9  0.75
  3067    43    64     35.27    -15.23   9  0.75
  3068    44    64     37.06    -15.17   9  0.75
  3069    45    64     38.83    -15.13   9  0.75
  3070    46    64     40.60    -15.09   0  0.00
  3071    47    64     42.36    -15.07   0  0.00
  3072    48    64     44.12    -15.05   0  0.00
  3073     1    65    315.89    -13.34   9  0.75
  3074     2    65    317.66    -13.35   9  0.75
  3075     3    65    319.43    -13.37   9  0.75
  3076     4    65    321.21    -13.40   0  0.00
  3077     5    65    322.99    -13.44   0  0.00
  3078     6    65    324.79    -13.49   0  0.00
  3079     7    65    326.59    -13.55   0  0.00
  3080     8    65    328.40    -13.61   0  0.00
  3081     9    65    330.23    -13.68   0  0.00
  3082    10    65    332.07    -13.75   0  0.00
  3083    11    65    333.92    -13.82   0  0.00
  3084    12    65    335.78    -13.89   0  0.00
  3085    13    65    337.66    -13.97   0  0.00
  3086    14    65    339.55    -14.04   0  0.00
  3087    15    65    341.45    -14.11   0  0.00
  3088    16    65    343.37    -14.18   0  0.00
  3089    17    65    345.29    -14.24   0  0.00
  3090    18    65    347.23    -14.30   0  0.00
  3091    19    65    349.18    -14.35   0  0.00
  3092    20    65    351.14    -14.40   0  0.00
  3093    21    65    353.10    -14.43   0  0.00
  3094    22    65    355.07    -14.46   0  0.00
  3095    23    65    357.04    -14.48   0  0.00
  3096    24    65    359.01    -14.49   0  0.00
  3097    25    65      0.99    -14.49   0  0.00
  3098    26    65      2.96    -14.48   0  0.00
  3099    27    65      4.93    -14.46   0  0.00
  3100    28    65      6.90    -14.43   0  0.00
  3101    29    65      8.86    -14.40   0  0.00
  3102    30    65     10.82    -14.35   0  0.00
  3103    31    65     12.77    -14.30   9  0.75
  3104    32    65     14.71    -14.24   9  0.75
  3105    33    65     16.63    -14.18   9  0.75
  3106    34    65     18.55    -14.11   9  0.75
  3107    35    65     20.45    -14.04   8  0.50
  3108    36    65     22.34    -13.97   9  0.75
  3109    37    65     24.22    -13.89   8  0.50
  3110    38    65     26.08    -13.82   8  0.50
  3111    39    65     27.93    -13.75   8  0.50
  3112    40    65     29.77    -13.68   9  0.75
  3113    41    65     31.60    -13.61   9  0.75
  3114    42    65     33.41    -13.55   9  0.75
  3115    43    65     35.21    -13.49   8  0.50
  3116    44    65     37.01    -13.44   8  0.50
  3117    45    65     38.79    -13.40   9  0.75
  3118    46    65     40.57    -13.37   0  0.00
  3119    47    65     42.34    -13.35   0  0.00
  3120    48    65     44.12    -13.34   0  0.00
  3121     1    66    315.89    -11.61   9  0.75
  3122     2    66    317.67    -11.62   9  0.75
  3123     3    66    319.45    -11.64   9  0.75
  3124     4    66    321.24    -11.66   9  0.75
  3125     5    66    323.04    -11.69   0  0.00
  3126     6    66    324.84    -11.73   0  0.00
  3127     7    66    326.64    -11.78   0  0.00
  3128     8    66    328.46    -11.83   0  0.00
  3129     9    66    330.29    -11.89   0  0.00
  3130    10    66    332.13    -11.95   0  0.00
  3131    11    66    333.99    -12.01   0  0.00
  3132    12    66    335.85    -12.07   0  0.00
  3133    13    66    337.73    -12.13   0  0.00
  3134    14    66    339.62    -12.20   0  0.00
  3135    15    66    341.52    -12.26   0  0.00
  3136    16    66    343.43    -12.31   0  0.00
  3137    17    66    345.35    -12.37   0  0.00
  3138    18    66    347.28    -12.41   0  0.00
  3139    19    66    349.22    -12.46   0  0.00
  3140    20    66    351.17    -12.49   0  0.00
  3141    21    66    353.13    -12.52   0  0.00
  3142    22    66    355.09    -12.55   0  0.00
  3143    23    66    357.05    -12.56   0  0.00
  3144    24    66    359.02    -12.57   0  0.00
  3145    25    66      0.98    -12.57   0  0.00
  3146    26    66      2.95    -12.56   0  0.00
  3147    27    66      4.91    -12.55   0  0.00
  3148    28    66      6.87    -12.52   0  0.00
  3149    29    66      8.83    -12.49   0  0.00
  3150    30    66     10.78    -12.46   0  0.00
  3151    31    66     12.72    -12.41   0  0.00
  3152    32    66     14.65    -12.37   9  0.75
  3153    33    66     16.57    -12.31   8  0.50
  3154    34    66     18.48    -12.26   8  0.50
  3155    35    66     20.38    -12.20   8  0.50
  3156    36    66     22.27    -12.13   8  0.50
  3157    37    66     24.15    -12.07   8  0.50
  3158    38    66     26.01    -12.01   8  0.50
  3159    39    66     27.87    -11.95   8  0.50
  3160    40    66     29.71    -11.89   8  0.50
  3161    41    66     31.54    -11.83   9  0.75
  3162    42    66     33.35    -11.78   9  0.75
  3163    43    66     35.16    -11.73   8  0.50
  3164    44    66     36.97    -11.69   9  0.75
  3165    45    66     38.76    -11.66   9  0.75
  3166    46    66     40.55    -11.64   0  0.00
  3167    47    66     42.33    -11.62   0  0.00
  3168    48    66     44.11    -11.61   0  0.00
  3169     1    67    315.89     -9.86   9  0.75
  3170     2    67    317.68     -9.86   9  0.75
  3171     3    67    319.47     -9.88   7  0.95
  3172     4    67    321.27     -9.90   7  0.95
  3173     5    67    323.07     -9.93  10  0.95
  3174     6    67    324.88     -9.96   0  0.00
  3175     7    67    326.69    -10.00   0  0.00
  3176     8    67    328.51    -10.04   0  0.00
  3177     9    67    330.35    -10.09   0  0.00
  3178    10    67    332.19    -10.13   0  0.00
  3179    11    67    334.04    -10.18   0  0.00
  3180    12    67    335.91    -10.24   0  0.00
  3181    13    67    337.79    -10.29   0  0.00
  3182    14    67    339.67    -10.34   0  0.00
  3183    15    67    341.57    -10.39   0  0.00
  3184    16    67    343.48    -10.44   0  0.00
  3185    17    67    345.40    -10.48   0  0.00
  3186    18    67    347.33    -10.52   0  0.00
  3187    19    67    349.26    -10.56   0  0.00
  3188    20    67    351.20    -10.59   0  0.00
  3189    21    67    353.15    -10.61   0  0.00
  3190    22    67    355.11    -10.63   0  0.00
  3191    23    67    357.06    -10.64   0  0.00
  3192    24    67    359.02    -10.65   0  0.00
  3193    25    67      0.98    -10.65   0  0.00
  3194    26    67      2.94    -10.64   0  0.00
  3195    27    67      4.89    -10.63   0  0.00
  3196    28    67      6.85    -10.61   0  0.00
  3197    29    67      8.80    -10.59   0  0.00
  3198    30    67     10.74    -10.56   0  0.00
  3199    31    67     12.67    -10.52   0  0.00
  3200    32    67     14.60    -10.48   9  0.75
  3201    33    67     16.52    -10.44   8  0.50
  3202    34    67     18.43    -10.39   8  0.50
  3203    35    67     20.33    -10.34   8  0.50
  3204    36    67     22.21    -10.29   8  0.50
  3205    37    67     24.09    -10.24   8  0.50
  3206    38    67     25.96    -10.18   8  0.50
  3207    39    67     27.81    -10.13   8  0.50
  3208    40    67     29.65    -10.09   8  0.50
  3209    41    67     31.49    -10.04   8  0.50
  3210    42    67     33.31    -10.00   9  0.75
  3211    43    67     35.12     -9.96   9  0.75
  3212    44    67     36.93     -9.93   9  0.75
  3213    45    67     38.73     -9.90   9  0.75
  3214    46    67     40.53     -9.88   0  0.00
  3215    47    67     42.32     -9.86   0  0.00
  3216    48    67     44.11     -9.86   0  0.00
  3217     1    68    315.90     -8.09   9  0.75
  3218     2    68    317.69     -8.09   8  0.50
  3219     3    68    319.49     -8.10   9  0.75
  3220     4    68    321.29     -8.12   7  0.95
  3221     5    68    323.10     -8.14   9  0.75
  3222     6    68    324.91     -8.17   9  0.75
  3223     7    68    326.73     -8.20   0  0.00
  3224     8    68    328.55     -8.23   0  0.00
  3225     9    68    330.39     -8.27   0  0.00
  3226    10    68    332.24     -8.31   0  0.00
  3227    11    68    334.09     -8.35   0  0.00
  3228    12    68    335.96     -8.39   0  0.00
  3229    13    68    337.83     -8.43   0  0.00
  3230    14    68    339.72     -8.47   0  0.00
  3231    15    68    341.62     -8.51   0  0.00
  3232    16    68    343.52     -8.55   0  0.00
  3233    17    68    345.44     -8.59   0  0.00
  3234    18    68    347.36     -8.62   0  0.00
  3235    19    68    349.29     -8.65   0  0.00
  3236    20    68    351.23     -8.67   0  0.00
  3237    21    68    353.17     -8.69   0  0.00
  3238    22    68    355.12     -8.70   0  0.00
  3239    23    68    357.07     -8.72   0  0.00
  3240    24    68    359.02     -8.72   0  0.00
  3241    25    68      0.98     -8.72   0  0.00
  3242    26    68      2.93     -8.72   0  0.00
  3243    27    68      4.88     -8.70   0  0.00
  3244    28    68      6.83     -8.69   0  0.00
  3245    29    68      8.77     -8.67   0  0.00
  3246    30    68     10.71     -8.65   0  0.00
  3247    31    68     12.64     -8.62   0  0.00
  3248    32    68     14.56     -8.59   9  0.75
  3249    33    68     16.48     -8.55   8  0.50
  3250    34    68     18.38     -8.51   8  0.50
  3251    35    68     20.28     -8.47   8  0.50
  3252    36    68     22.17     -8.43   8  0.50
  3253    37    68     24.04     -8.39   8  0.50
  3254    38    68     25.91     -8.35   8  0.50
  3255    39    68     27.76     -8.31   8  0.50
  3256    40    68     29.61     -8.27   8  0.50
  3257    41    68     31.45     -8.23   9  0.75
  3258    42    68     33.27     -8.20   9  0.75
  3259    43    68     35.09     -8.17   9  0.75
  3260    44    68     36.90     -8.14   9  0.75
  3261    45    68     38.71     -8.12   9  0.75
  3262    46    68     40.51     -8.10   0  0.00
  3263    47    68     42.31     -8.09   0  0.00
  3264    48    68     44.10     -8.09   0  0.00
  3265     1    69    315.90     -6.30   9  0.75
  3266     2    69    317.70     -6.31   9  0.75
  3267     3    69    319.50     -6.32   9  0.75
  3268     4    69    321.31     -6.33   9  0.75
  3269     5    69    323.12     -6.35   7  0.95
  3270     6    69    324.93     -6.37   0  0.00
  3271     7    69    326.76     -6.39   0  0.00
  3272     8    69    328.59     -6.41   0  0.00
  3273     9    69    330.42     -6.44   0  0.00
  3274    10    69    332.27     -6.47   0  0.00
  3275    11    69    334.13     -6.50   0  0.00
  3276    12    69    335.99     -6.53   0  0.00
  3277    13    69    337.87     -6.57   0  0.00
  3278    14    69    339.76     -6.60   0  0.00
  3279    15    69    341.65     -6.63   0  0.00
  3280    16    69    343.55     -6.66   0  0.00
  3281    17    69    345.47     -6.68   0  0.00
  3282    18    69    347.39     -6.71   0  0.00
  3283    19    69    349.32     -6.73   0  0.00
  3284    20    69    351.25     -6.75   0  0.00
  3285    21    69    353.19     -6.76   0  0.00
  3286    22    69    355.13     -6.78   0  0.00
  3287    23    69    357.08     -6.78   0  0.00
  3288    24    69    359.03     -6.79   0  0.00
  3289    25    69      0.97     -6.79   0  0.00
  3290    26    69      2.92     -6.78   0  0.00
  3291    27    69      4.87     -6.78   0  0.00
  3292    28    69      6.81     -6.76   0  0.00
  3293    29    69      8.75     -6.75   0  0.00
  3294    30    69     10.69     -6.73   0  0.00
  3295    31    69     12.61     -6.71   0  0.00
  3296    32    69     14.53     -6.68   8  0.50
  3297    33    69     16.45     -6.66   8  0.50
  3298    34    69     18.35     -6.63   8  0.50
  3299    35    69     20.25     -6.60   8  0.50
  3300    36    69     22.13     -6.57   8  0.50
  3301    37    69     24.01     -6.53   8  0.50
  3302    38    69     25.87     -6.50   8  0.50
  3303    39    69     27.73     -6.47   8  0.50
  3304    40    69     29.58     -6.44   8  0.50
  3305    41    69     31.41     -6.41   8  0.50
  3306    42    69     33.24     -6.39   9  0.75
  3307    43    69     35.07     -6.37   9  0.75
  3308    44    69     36.88     -6.35   9  0.75
  3309    45    69     38.69     -6.33   9  0.75
  3310    46    69     40.50     -6.32   0  0.00
  3311    47    69     42.30     -6.31   0  0.00
  3312    48    69     44.10     -6.30   0  0.00
  3313     1    70    315.90     -4.51   2  0.00
  3314     2    70    317.71     -4.51   9  0.75
  3315     3    70    319.51     -4.52   9  0.75
  3316     4    70    321.32     -4.53   9  0.75
  3317     5    70    323.13     -4.54   0  0.00
  3318     6    70    324.95     -4.55   0  0.00
  3319     7    70    326.78     -4.57   0  0.00
  3320     8    70    328.61     -4.59   0  0.00
  3321     9    70    330.45     -4.61   0  0.00
  3322    10    70    332.30     -4.63   0  0.00
  3323    11    70    334.15     -4.65   0  0.00
  3324    12    70    336.02     -4.67   0  0.00
  3325    13    70    337.90     -4.70   0  0.00
  3326    14    70    339.78     -4.72   0  0.00
  3327    15    70    341.68     -4.74   0  0.00
  3328    16    70    343.58     -4.76   0  0.00
  3329    17    70    345.49     -4.78   0  0.00
  3330    18    70    347.41     -4.80   0  0.00
  3331    19    70    349.33     -4.81   0  0.00
  3332    20    70    351.26     -4.82   0  0.00
  3333    21    70    353.20     -4.84   0  0.00
  3334    22    70    355.14     -4.84   0  0.00
  3335    23    70    357.08     -4.85   0  0.00
  3336    24    70    359.03     -4.85   0  0.00
  3337    25    70      0.97     -4.85   0  0.00
  3338    26    70      2.92     -4.85   0  0.00
  3339    27    70      4.86     -4.84   0  0.00
  3340    28    70      6.80     -4.84   0  0.00
  3341    29    70      8.74     -4.82   0  0.00
  3342    30    70     10.67     -4.81   0  0.00
  3343    31    70     12.59     -4.80   2  0.00
  3344    32    70     14.51     -4.78   8  0.50
  3345    33    70     16.42     -4.76   8  0.50
  3346    34    70     18.32     -4.74   8  0.50
  3347    35    70     20.22     -4.72   2  0.00
  3348    36    70     22.10     -4.70   2  0.00
  3349    37    70     23.98     -4.67   2  0.00
  3350    38    70     25.84     -4.65   8  0.50
  3351    39    70     27.70     -4.63   8  0.50
  3352    40    70     29.55     -4.61   8  0.50
  3353    41    70     31.39     -4.59   8  0.50
  3354    42    70     33.22     -4.57   9  0.75
  3355    43    70     35.05     -4.55   9  0.75
  3356    44    70     36.87     -4.54   9  0.75
  3357    45    70     38.68     -4.53   9  0.75
  3358    46    70     40.49     -4.52   0  0.00
  3359    47    70     42.29     -4.51   0  0.00
  3360    48    70     44.10     -4.51   0  0.00
  3361     1    71    315.90     -2.71   2  0.00
  3362     2    71    317.71     -2.71   0  0.00
  3363     3    71    319.52     -2.71   0  0.00
  3364     4    71    321.33     -2.72   0  0.00
  3365     5    71    323.14     -2.73   0  0.00
  3366     6    71    324.96     -2.73   0  0.00
  3367     7    71    326.79     -2.74   0  0.00
  3368     8    71    328.62     -2.76   0  0.00
  3369     9    71    330.46     -2.77   0  0.00
  3370    10    71    332.31     -2.78   0  0.00
  3371    11    71    334.17     -2.79   0  0.00
  3372    12    71    336.04     -2.81   0  0.00
  3373    13    71    337.91     -2.82   0  0.00
  3374    14    71    339.80     -2.83   0  0.00
  3375    15    71    341.69     -2.85   0  0.00
  3376    16    71    343.59     -2.86   0  0.00
  3377    17    71    345.50     -2.87   0  0.00
  3378    18    71    347.42     -2.88   0  0.00
  3379    19    71    349.34     -2.89   0  0.00
  3380    20    71    351.27     -2.89   0  0.00
  3381    21    71    353.21     -2.90   0  0.00
  3382    22    71    355.14     -2.91   0  0.00
  3383    23    71    357.09     -2.91   0  0.00
  3384    24    71    359.03     -2.91   0  0.00
  3385    25    71      0.97     -2.91   0  0.00
  3386    26    71      2.91     -2.91   0  0.00
  3387    27    71      4.86     -2.91   0  0.00
  3388    28    71      6.79     -2.90   0  0.00
  3389    29    71      8.73     -2.89   0  0.00
  3390    30    71     10.66     -2.89   2  0.00
  3391    31    71     12.58     -2.88   2  0.00
  3392    32    71     14.50     -2.87   9  0.75
  3393    33    71     16.41     -2.86   2  0.00
  3394    34    71     18.31     -2.85   2  0.00
  3395    35    71     20.20     -2.83   2  0.00
  3396    36    71     22.09     -2.82   2  0.00
  3397    37    71     23.96     -2.81   2  0.00
  3398    38    71     25.83     -2.79   2  0.00
  3399    39    71     27.69     -2.78   2  0.00
  3400    40    71     29.53     -2.77   9  0.75
  3401    41    71     31.38     -2.76   9  0.75
  3402    42    71     33.21     -2.74   9  0.75
  3403    43    71     35.04     -2.73   9  0.75
  3404    44    71     36.86     -2.73   9  0.75
  3405    45    71     38.67     -2.72   9  0.75
  3406    46    71     40.48     -2.71   0  0.00
  3407    47    71     42.29     -2.71   0  0.00
  3408    48    71     44.10     -2.71   0  0.00
  3409     1    72    315.90     -0.90   0  0.00
  3410     2    72    317.71     -0.90   0  0.00
  3411     3    72    319.52     -0.90   0  0.00
  3412     4    72    321.33     -0.91   0  0.00
  3413     5    72    323.15     -0.91   0  0.00
  3414     6    72    324.97     -0.91   0  0.00
  3415     7    72    326.80     -0.92   0  0.00
  3416     8    72    328.63     -0.92   0  0.00
  3417     9    72    330.47     -0.92   0  0.00
  3418    10    72    332.32     -0.93   0  0.00
  3419    11    72    334.18     -0.93   0  0.00
  3420    12    72    336.05     -0.94   0  0.00
  3421    13    72    337.92     -0.94   0  0.00
  3422    14    72    339.81     -0.94   0  0.00
  3423    15    72    341.70     -0.95   0  0.00
  3424    16    72    343.60     -0.95   0  0.00
  3425    17    72    345.51     -0.96   0  0.00
  3426    18    72    347.43     -0.96   0  0.00
  3427    19    72    349.35     -0.96   0  0.00
  3428    20    72    351.28     -0.96   0  0.00
  3429    21    72    353.21     -0.97   0  0.00
  3430    22    72    355.15     -0.97   0  0.00
  3431    23    72    357.09     -0.97   0  0.00
  3432    24    72    359.03     -0.97   0  0.00
  3433    25    72      0.97     -0.97   0  0.00
  3434    26    72      2.91     -0.97   0  0.00
  3435    27    72      4.85     -0.97   0  0.00
  3436    28    72      6.79     -0.97   0  0.00
  3437    29    72      8.72     -0.96   0  0.00
  3438    30    72     10.65     -0.96   2  0.00
  3439    31    72     12.57     -0.96   2  0.00
  3440    32    72     14.49     -0.96   2  0.00
  3441    33    72     16.40     -0.95   2  0.00
  3442    34    72     18.30     -0.95   2  0.00
  3443    35    72     20.19     -0.94   2  0.00
  3444    36    72     22.08     -0.94   2  0.00
  3445    37    72     23.95     -0.94   2  0.00
  3446    38    72     25.82     -0.93   2  0.00
  3447    39    72     27.68     -0.93   2  0.00
  3448    40    72     29.53     -0.92   2  0.00
  3449    41    72     31.37     -0.92   9  0.75
  3450    42    72     33.20     -0.92   9  0.75
  3451    43    72     35.03     -0.91   9  0.75
  3452    44    72     36.85     -0.91   9  0.75
  3453    45    72     38.67     -0.91   9  0.75
  3454    46    72     40.48     -0.90   9  0.75
  3455    47    72     42.29     -0.90   0  0.00
  3456    48    72     44.10     -0.90   0  0.00
  3457     1    73    315.90      0.90   0  0.00
  3458     2    73    317.71      0.90   0  0.00
  3459     3    73    319.52      0.90   0  0.00
  3460     4    73    321.33      0.91   0  0.00
  3461     5    73    323.15      0.91   0  0.00
  3462     6    73    324.97      0.91   0  0.00
  3463     7    73    326.80      0.92   0  0.00
  3464     8    73    328.63      0.92   0  0.00
  3465     9    73    330.47      0.92   0  0.00
  3466    10    73    332.32      0.93   0  0.00
  3467    11    73    334.18      0.93   0  0.00
  3468    12    73    336.05      0.94   0  0.00
  3469    13    73    337.92      0.94   0  0.00
  3470    14    73    339.81      0.94   0  0.00
  3471    15    73    341.70      0.95   0  0.00
  3472    16    73    343.60      0.95   0  0.00
  3473    17    73    345.51      0.96   0  0.00
  3474    18    73    347.43      0.96   0  0.00
  3475    19    73    349.35      0.96   0  0.00
  3476    20    73    351.28      0.96   0  0.00
  3477    21    73    353.21      0.97   0  0.00
  3478    22    73    355.15      0.97   0  0.00
  3479    23    73    357.09      0.97   0  0.00
  3480    24    73    359.03      0.97   0  0.00
  3481    25    73      0.97      0.97   0  0.00
  3482    26    73      2.91      0.97   0  0.00
  3483    27    73      4.85      0.97   0  0.00
  3484    28    73      6.79      0.97   0  0.00
  3485    29    73      8.72      0.96   0  0.00
  3486    30    73     10.65      0.96   2  0.00
  3487    31    73     12.57      0.96   2  0.00
  3488    32    73     14.49      0.96   2  0.00
  3489    33    73     16.40      0.95   2  0.00
  3490    34    73     18.30      0.95   2  0.00
  3491    35    73     20.19      0.94   2  0.00
  3492    36    73     22.08      0.94   2  0.00
  3493    37    73     23.95      0.94   2  0.00
  3494    38    73     25.82      0.93   2  0.00
  3495    39    73     27.68      0.93   2  0.00
  3496    40    73     29.53      0.92   2  0.00
  3497    41    73     31.37      0.92   2  0.00
  3498    42    73     33.20      0.92   8  0.80
  3499    43    73     35.03      0.91   8  0.80
  3500    44    73     36.85      0.91   7  0.95
  3501    45    73     38.67      0.91   7  0.95
  3502    46    73     40.48      0.90   7  0.95
  3503    47    73     42.29      0.90   9  0.75
  3504    48    73     44.10      0.90   0  0.00
  3505     1    74    315.90      2.71   0  0.00
  3506     2    74    317.71      2.71   0  0.00
  3507     3    74    319.52      2.71   0  0.00
  3508     4    74    321.33      2.72   0  0.00
  3509     5    74    323.14      2.73   0  0.00
  3510     6    74    324.96      2.73   0  0.00
  3511     7    74    326.79      2.74   0  0.00
  3512     8    74    328.62      2.76   0  0.00
  3513     9    74    330.46      2.77   0  0.00
  3514    10    74    332.31      2.78   0  0.00
  3515    11    74    334.17      2.79   0  0.00
  3516    12    74    336.04      2.81   0  0.00
  3517    13    74    337.91      2.82   0  0.00
  3518    14    74    339.80      2.83   0  0.00
  3519    15    74    341.69      2.85   0  0.00
  3520    16    74    343.59      2.86   0  0.00
  3521    17    74    345.50      2.87   0  0.00
  3522    18    74    347.42      2.88   0  0.00
  3523    19    74    349.34      2.89   0  0.00
  3524    20    74    351.27      2.89   0  0.00
  3525    21    74    353.21      2.90   0  0.00
  3526    22    74    355.14      2.91   0  0.00
  3527    23    74    357.09      2.91   0  0.00
  3528    24    74    359.03      2.91   0  0.00
  3529    25    74      0.97      2.91   0  0.00
  3530    26    74      2.91      2.91   0  0.00
  3531    27    74      4.86      2.91   0  0.00
  3532    28    74      6.79      2.90   0  0.00
  3533    29    74      8.73      2.89   0  0.00
  3534    30    74     10.66      2.89   2  0.00
  3535    31    74     12.58      2.88   2  0.00
  3536    32    74     14.50      2.87   2  0.00
  3537    33    74     16.41      2.86   2  0.00
  3538    34    74     18.31      2.85   2  0.00
  3539    35    74     20.20      2.83   2  0.00
  3540    36    74     22.09      2.82   2  0.00
  3541    37    74     23.96      2.81   2  0.00
  3542    38    74     25.83      2.79   2  0.00
  3543    39    74     27.69      2.78   2  0.00
  3544    40    74     29.53      2.77   2  0.00
  3545    41    74     31.38      2.76   8  0.80
  3546    42    74     33.21      2.74   8  0.80
  3547    43    74     35.04      2.73   7  0.95
  3548    44    74     36.86      2.73   7  0.95
  3549    45    74     38.67      2.72   7  0.95
  3550    46    74     40.48      2.71   7  0.95
  3551    47    74     42.29      2.71   7  0.95
  3552    48    74     44.10      2.71   7  0.95
  3553     1    75    315.90      4.51   0  0.00
  3554     2    75    317.71      4.51   0  0.00
  3555     3    75    319.51      4.52   0  0.00
  3556     4    75    321.32      4.53   0  0.00
  3557     5    75    323.13      4.54   0  0.00
  3558     6    75    324.95      4.55   0  0.00
  3559     7    75    326.78      4.57   0  0.00
  3560     8    75    328.61      4.59   0  0.00
  3561     9    75    330.45      4.61   0  0.00
  3562    10    75    332.30      4.63   0  0.00
  3563    11    75    334.15      4.65   0  0.00
  3564    12    75    336.02      4.67   0  0.00
  3565    13    75    337.90      4.70   0  0.00
  3566    14    75    339.78      4.72   0  0.00
  3567    15    75    341.68      4.74   0  0.00
  3568    16    75    343.58      4.76   0  0.00
  3569    17    75    345.49      4.78   0  0.00
  3570    18    75    347.41      4.80   0  0.00
  3571    19    75    349.33      4.81   0  0.00
  3572    20    75    351.26      4.82   0  0.00
  3573    21    75    353.20      4.84   2  0.00
  3574    22    75    355.14      4.84   0  0.00
  3575    23    75    357.08      4.85   0  0.00
  3576    24    75    359.03      4.85   0  0.00
  3577    25    75      0.97      4.85   0  0.00
  3578    26    75      2.92      4.85   0  0.00
  3579    27    75      4.86      4.84   0  0.00
  3580    28    75      6.80      4.84   2  0.00
  3581    29    75      8.74      4.82   2  0.00
  3582    30    75     10.67      4.81   2  0.00
  3583    31    75     12.59      4.80   2  0.00
  3584    32    75     14.51      4.78   8  0.80
  3585    33    75     16.42      4.76   8  0.80
  3586    34    75     18.32      4.74   8  0.80
  3587    35    75     20.22      4.72   8  0.80
  3588    36    75     22.10      4.70   2  0.00
  3589    37    75     23.98      4.67   2  0.00
  3590    38    75     25.84      4.65   8  0.80
  3591    39    75     27.70      4.63   8  0.80
  3592    40    75     29.55      4.61   8  0.80
  3593    41    75     31.39      4.59   8  0.80
  3594    42    75     33.22      4.57   9  0.75
  3595    43    75     35.05      4.55   7  0.95
  3596    44    75     36.87      4.54   7  0.95
  3597    45    75     38.68      4.53   7  0.95
  3598    46    75     40.49      4.52   7  0.95
  3599    47    75     42.29      4.51   7  0.95
  3600    48    75     44.10      4.51   7  0.95
  3601     1    76    315.90      6.30   0  0.00
  3602     2    76    317.70      6.31   0  0.00
  3603     3    76    319.50      6.32   0  0.00
  3604     4    76    321.31      6.33   0  0.00
  3605     5    76    323.12      6.35   0  0.00
  3606     6    76    324.93      6.37   0  0.00
  3607     7    76    326.76      6.39   0  0.00
  3608     8    76    328.59      6.41   0  0.00
  3609     9    76    330.42      6.44   0  0.00
  3610    10    76    332.27      6.47   0  0.00
  3611    11    76    334.13      6.50   0  0.00
  3612    12    76    335.99      6.53   0  0.00
  3613    13    76    337.87      6.57   0  0.00
  3614    14    76    339.76      6.60   0  0.00
  3615    15    76    341.65      6.63   0  0.00
  3616    16    76    343.55      6.66   0  0.00
  3617    17    76    345.47      6.68   0  0.00
  3618    18    76    347.39      6.71   0  0.00
  3619    19    76    349.32      6.73   2  0.00
  3620    20    76    351.25      6.75   2  0.00
  3621    21    76    353.19      6.76   2  0.00
  3622    22    76    355.13      6.78   8  0.80
  3623    23    76    357.08      6.78   2  0.00
  3624    24    76    359.03      6.79   8  0.80
  3625    25    76      0.97      6.79   8  0.80
  3626    26    76      2.92      6.78   8  0.80
  3627    27    76      4.87      6.78   2  0.00
