IGBP iq    i     j    rlong      rlat  iveg frac-c4
   145     1     4    227.70    -37.10   0  0.00
   146     2     4    226.94    -38.00   0  0.00
   147     3     4    226.04    -38.87   0  0.00
   148     4     4    225.00    -39.72   0  0.00
   149     5     4    223.83    -40.57   0  0.00
   150     6     4    222.54    -41.40   0  0.00
   151     7     4    221.12    -42.23   0  0.00
   152     8     4    219.59    -43.05   0  0.00
   153     9     4    217.94    -43.85   0  0.00
   154    10     4    216.18    -44.64   0  0.00
   155    11     4    214.30    -45.41   0  0.00
   156    12     4    212.32    -46.15   0  0.00
   157    13     4    210.22    -46.86   0  0.00
   158    14     4    208.02    -47.54   0  0.00
   159    15     4    205.72    -48.17   0  0.00
   160    16     4    203.32    -48.76   0  0.00
   161    17     4    200.83    -49.31   0  0.00
   162    18     4    198.24    -49.79   0  0.00
   163    19     4    195.58    -50.22   0  0.00
   164    20     4    192.85    -50.58   0  0.00
   165    21     4    190.06    -50.87   0  0.00
   166    22     4    187.22    -51.10   0  0.00
   167    23     4    184.35    -51.25   0  0.00
   168    24     4    181.45    -51.32   0  0.00
   169    25     4    178.55    -51.32   0  0.00
   170    26     4    175.65    -51.25   0  0.00
   171    27     4    172.78    -51.10   0  0.00
   172    28     4    169.94    -50.87   0  0.00
   173    29     4    167.15    -50.58   0  0.00
   174    30     4    164.42    -50.22   0  0.00
   175    31     4    161.76    -49.79   0  0.00
   176    32     4    159.17    -49.31   0  0.00
   177    33     4    156.68    -48.76   0  0.00
   178    34     4    154.28    -48.17   0  0.00
   179    35     4    151.98    -47.54   0  0.00
   180    36     4    149.78    -46.86   0  0.00
   181    37     4    147.68    -46.15   0  0.00
   182    38     4    145.70    -45.41   0  0.00
   183    39     4    143.82    -44.64   0  0.00
   184    40     4    142.06    -43.85   0  0.00
   185    41     4    140.41    -43.05   0  0.00
   186    42     4    138.88    -42.23   0  0.00
   187    43     4    137.46    -41.40   0  0.00
   188    44     4    136.17    -40.57   0  0.00
   189    45     4    135.00    -39.72   0  0.00
